Latest_request,12-05-2022
AED,3.861496
AFN,91.995855
ALL,120.532939
AMD,490.827084
ANG,1.893613
AOA,426.80404
ARS,123.109588
AUD,1.515398
AWG,1.892893
AZN,1.785999
BAM,1.948509
BBD,2.12146
BDT,91.121352
BGN,1.955435
BHD,0.396236
BIF,2130.490146
BMD,1.051315
BND,1.456548
BOB,7.213003
BRL,5.401862
BSD,1.050668
BTC,3.634092e-05
BTN,81.197993
BWP,12.797718
BYN,3.545579
BYR,20605.776887
BZD,2.117843
CAD,1.366095
CDF,2136.272511
CHF,1.045817
CLF,0.032848
CLP,906.370403
CNY,7.066626
COP,4291.468431
CRC,702.381134
CUC,1.051315
CUP,27.859851
CVE,110.519529
CZK,25.393679
DJF,186.839489
DKK,7.438612
DOP,57.980184
DZD,153.095722
EGP,19.329359
ERN,15.769729
ETB,54.089933
EUR,1
FJD,2.299069
FKP,0.808085
GBP,0.858389
GEL,3.180194
GGP,0.808085
GHS,7.892332
GIP,0.808085
GMD,56.392459
GNF,9241.060359
GTQ,8.055151
GYD,219.81727
HKD,8.252982
HNL,25.725242
HRK,7.539715
HTG,116.626491
HUF,379.55313
IDR,15291.168555
ILS,3.611131
IMP,0.808085
INR,81.394238
IQD,1534.920115
IRR,44575.76232
ISK,139.295157
JEP,0.808085
JMD,162.901968
JOD,0.745414
JPY,136.658877
KES,122.060486
KGS,86.899506
KHR,4268.339463
KMF,491.85804
KPW,946.183758
KRW,1345.210144
KWD,0.322648
KYD,0.875511
KZT,463.178796
LAK,13483.116663
LBP,1600.220931
LKR,378.236739
LRD,159.8004
LSL,16.884317
LTL,3.10426
LVL,0.63593
LYD,5.051581
MAD,10.547319
MDL,19.860483
MGA,4200.003829
MKD,61.607391
MMK,1945.357135
MNT,3148.545044
MOP,8.495204
MRO,375.319327
MUR,45.428907
MVR,16.242832
MWK,858.399275
MXN,21.370745
MYR,4.601077
MZN,67.105081
NAD,16.883705
NGN,435.591606
NIO,37.605546
NOK,10.250196
NPR,129.916749
NZD,1.671076
OMR,0.404745
PAB,1.050668
PEN,3.981856
PGK,3.69538
PHP,54.857274
PKR,199.591908
PLN,4.670956
PYG,7210.412933
QAR,3.827812
RON,4.939608
RSD,117.642076
RUB,70.175635
RWF,1073.392765
SAR,3.943482
SBD,8.54384
SCR,14.130792
SDG,478.348367
SEK,10.594632
SGD,1.46101
SHP,1.448084
SLL,13351.702574
SOS,613.968578
SRD,21.986683
STD,21760.100952
SVC,9.19359
SYP,2641.376207
SZL,16.884338
THB,36.438457
TJS,13.122685
TMT,3.679603
TND,3.240678
TOP,2.458499
TRY,16.112035
TTD,7.140076
TWD,31.236992
TZS,2444.308124
UAH,31.782989
UGX,3771.928643
USD,1.051315
UYU,43.924599
UZS,11753.703588
VEF,224802951697.1245
VND,24238.070721
VUV,118.358795
WST,2.718114
XAF,653.511045
XAG,0.048749
XAU,0.000568
XCD,2.841232
XDR,0.784763
XOF,653.390911
XPF,119.482151
YER,263.091313
ZAR,17.06715
ZMK,9463.096215
ZMW,17.914096
ZWL,338.523048
ZAF,17.01
